Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive,Escaped
1,2,2,0,1.72,0
1,3,0,0,3.36,0
1,3,4,0,2.36,0
1,1,0,0,4.38,0
1,1,2,5,4.1,0
1,3,2,0,4.18,0
1,1,3,0,5.26,0
1,1,5,0,4.32,0
1,2,7,2,3.66,0
1,1,1,5,6.82,0
1,2,8,2,3.68,0
1,3,9,5,4.16,0
1,4,9,5,4.16,0
1,1,7,6,5.46,0
1,2,4,15,8.04,0
1,3,5,0,7.56,0
1,2,1,0,9.96,0
1,3,6,2,7.78,0
1,3,7,6,7.54,0
1,4,4,4,9.98,0
1,2,3,12,10.82,0
1,3,3,4,10.9,0
1,2,0,16,13.28,0
1,4,3,8,12.72,0
1,4,8,12,10.8,0
1,1,6,9,11.84,0
1,3,1,16,15.02,0
1,1,9,8,11.74,0
1,1,4,16,16.4,0
1,4,7,24,15.6,0
1,2,6,19,16.98,0
1,4,0,9,20.18,0
1,2,5,4,17.7,0
1,4,2,9,19.44,0
1,4,5,5,19.24,0
1,4,1,4,23.58,0
1,2,9,21,20.52,0
1,1,8,13,22.24,0
1,3,8,5,23.96,0
1,4,6,5,26.7,0
2,4,0,0,1.559999,0
2,1,1,0,2.440001,0
2,1,0,2,3.640001,0
2,1,5,0,1.139999,0
2,1,7,0,0.4199982,0
2,4,1,2,3.639997,0
2,2,2,3,3.9,0
2,1,2,0,4.42,0
2,2,3,4,3.900002,0
2,2,4,3,3.939999,0
2,2,6,0,3.220001,0
2,1,6,0,3.740002,0
2,2,9,0,2.779999,0
2,2,11,0,2.380001,0
2,2,1,5,8.059999,0
2,2,5,6,6.18,0
2,3,2,6,7.979998,0
2,2,0,5,9.659998,0
2,2,10,5,5.34,0
2,1,11,7,5.82,0
2,1,4,0,9.700001,0
2,3,1,11,11.66,0
2,3,3,8,10.86,0
2,3,4,9,12.16,0
2,3,7,7,10.64,0
2,1,9,10,10.1,0
2,3,9,3,11.34,0
2,1,8,2,12.22,0
2,2,8,3,13.86,0
2,4,11,15,12.52,0
2,3,5,17,16.34,0
2,3,0,23,18.88,0
2,3,11,11,13.38,0
2,2,7,23,16.12,0
2,4,4,10,17.94,0
2,4,3,6,19.48,0
2,4,2,12,20.72,0
2,3,8,0,17.76,0
2,3,10,10,16.92,0
2,4,5,13,21.28,0
2,4,9,6,19.74,0
2,4,7,18,21.04,0
2,4,10,14,20.76,0
2,4,8,18,22.16,0
2,1,3,24,25.14,0
2,1,10,6,22.6,0
2,4,6,12,27.98,0
2,3,6,16,29.68,0
3,4,1,0,0.7799988,0
3,4,0,0,1.339996,0
3,3,0,0,2.900002,0
3,3,1,0,2.760002,0
3,3,2,0,2.619995,0
3,2,0,0,3.739998,0
3,1,0,3,5.019997,0
3,3,7,0,1.980003,0
3,3,11,0,0.659996,0
3,2,5,3,3.900002,0
3,2,6,2,3.639999,0
3,2,7,2,3.639999,0
3,3,6,3,4.659996,0
3,2,2,3,7.099998,0
3,1,11,0,3,0
3,4,11,0,3.059998,0
3,1,2,9,8.5,0
3,1,4,10,9.380005,0
3,2,8,5,7.68,0
3,2,4,14,9.860001,0
3,3,10,3,7.259995,0
3,2,3,8,11.16,0
3,3,3,8,11.34,0
3,3,4,10,11.4,0
3,1,7,5,11,0
3,1,10,10,10.28,0
3,1,8,10,11.32,0
3,4,10,6,10.74,0
3,2,11,5,10.5,0
3,2,10,6,11.7,0
3,1,3,9,15.54,0
3,4,6,6,14.62,0
3,4,7,6,14.72,0
3,2,9,3,13.74,0
3,4,8,6,14.84,0
3,2,1,17,18.7,0
3,4,9,15,17.04,0
3,3,8,17,17.76,0
3,1,5,10,20.36,0
3,1,6,19,21.1,0
3,3,5,20,22.12,0
3,1,1,20,25.7,0
3,4,2,15,25.72,0
3,4,3,9,27.54,0
3,4,4,6,27.04,0
3,1,9,10,25.14,0
3,4,5,12,28.22,0
3,3,9,6,29.52,0
4,4,0,0,0.4200058,0
4,1,2,0,2.239998,0
4,2,5,0,0.7600021,0
4,1,1,0,2.839996,0
4,1,5,0,1.199997,0
4,1,3,0,2.480003,0
4,4,2,0,3.099998,0
4,3,4,0,2.800003,0
4,2,1,3,5.019997,0
4,2,2,0,4.699997,0
4,3,5,0,3.259995,0
4,1,4,4,4.300003,0
4,1,9,0,3.019997,0
4,1,10,0,3.099998,0
4,2,3,3,6.740005,0
4,2,7,6,5.040001,0
4,4,10,4,3.82,0
4,4,9,8,4.860001,0
4,3,8,9,5.659996,0
4,4,6,6,6.900002,0
4,4,5,6,7.519997,0
4,3,11,3,5.979996,0
4,2,8,5,7.799995,0
4,2,9,5,7.32,0
4,1,11,7,6.979996,0
4,1,6,4,10.82,0
4,2,6,14,11.38,0
4,3,0,3,14.68,0
4,1,8,5,10.84,0
4,4,8,5,11.71999,0
4,3,1,14,16.48,0
4,3,9,11,12.43999,0
4,4,11,12,11.93999,0
4,1,7,14,15.82,0
4,3,7,15,16,0
4,2,0,22,19.9,0
4,4,1,18,20.4,0
4,3,10,11,17.42,0
4,3,2,18,23.24,0
4,4,4,6,23.74001,0
4,2,11,16,20.32,0
4,2,10,14,21.48,0
4,3,6,13,24.56,0
4,4,7,16,25.34,0
4,1,0,19,32.08001,0
4,4,3,18,30.96001,0
4,2,4,12,35.48,0
4,3,3,16,39.16,0
5,2,0,0,1.199997,0
5,1,0,0,2.679993,0
5,1,1,0,2.559998,0
5,1,4,0,1.87999,0
5,4,2,0,2.980011,0
5,4,0,3,4.139999,0
5,1,5,0,3,0
5,2,4,0,4.039993,0
5,2,1,0,5.580002,0
5,1,6,2,3.580002,0
5,2,6,4,3.839996,0
5,1,11,0,1.699997,0
5,1,8,0,3.220001,0
5,3,6,7,4.860001,0
5,2,8,5,4.100006,0
5,2,10,0,3.180008,0
5,2,9,3,3.839996,0
5,1,2,0,7.840012,0
5,3,10,3,3.860001,0
5,4,11,4,3.900009,0
5,3,2,4,8.700012,0
5,4,10,12,5.960007,0
5,3,3,4,9.520004,0
5,2,3,3,9.759995,0
5,3,11,0,5.979996,0
5,2,7,8,9.040009,0
5,4,4,6,10.84,0
5,2,2,0,12.22,0
5,1,3,13,12.16,0
5,1,9,0,9.240005,0
5,3,0,13,13.86,0
5,2,5,7,11.45999,0
5,4,8,7,12.12001,0
5,3,4,11,14.37999,0
5,3,5,10,14.78,0
5,4,3,20,17.14,0
5,3,1,3,18.36,0
5,4,1,7,20.40001,0
5,2,11,11,16.10001,0
5,1,10,19,17.40001,0
5,1,7,12,19.94,0
5,4,9,6,20.34,0
5,3,9,20,21.24001,0
5,3,7,12,24.10001,0
5,4,7,17,25.12001,0
5,4,5,6,26.14,0
5,4,6,14,27.98,0
5,3,8,14,28.46001,0
6,1,0,0,2.679993,0
6,1,1,0,2.519989,0
6,1,2,0,2.720001,0
6,4,0,5,4.259995,0
6,1,5,0,1.720001,0
6,4,4,0,2.800003,0
6,4,1,4,4.539993,0
6,4,6,3,3.559998,0
6,2,7,2,3.279999,0
6,1,8,0,3.23999,0
6,1,6,4,4.360001,0
6,2,9,4,3.860001,0
6,2,1,7,8.039993,0
6,3,9,3,4.159988,0
6,2,5,3,6.680008,0
6,3,11,3,3.900009,0
6,1,9,2,5.419998,0
6,4,7,6,7.23999,0
6,4,8,6,7.360001,0
6,2,4,0,9.920013,0
6,2,8,5,7.959991,0
6,3,0,9,12.48,0
6,2,2,8,12.12,0
6,1,7,11,9.539993,0
6,3,6,3,10.38,0
6,3,4,9,11.86,0
6,1,10,0,9.5,0
6,3,8,4,11.92,0
6,3,2,0,15.45999,0
6,4,2,3,15.48,0
6,2,3,1,15.46001,0
6,4,9,15,15.34,0
6,3,5,11,17.58,0
6,2,10,13,15.02,0
6,1,4,9,19.32001,0
6,4,5,7,18.84,0
6,4,3,20,21.12001,0
6,3,1,16,22.42,0
6,2,11,14,18.34001,0
6,1,3,3,22.88,0
6,4,10,6,20.64,0
6,2,6,9,23.36,0
6,1,11,20,21.5,0
6,4,11,20,22.16,0
6,3,7,17,27.86,0
6,3,3,24,31.70001,0
6,3,10,20,28.42,0
6,2,0,13,36.66,0
7,1,0,0,2.959991,0
7,1,3,0,1.759995,0
7,1,2,0,2.660004,0
7,4,0,0,4.519989,0
7,1,6,0,1.819992,0
7,1,5,0,2.380005,0
7,3,3,0,3.720001,0
7,4,1,6,5.240005,0
7,1,10,0,1.26001,0
7,3,5,0,3.919998,0
7,1,1,7,6.340012,0
7,2,1,0,6.460007,0
7,1,7,2,3.559998,0
7,2,10,0,2.12001,0
7,3,8,0,3.320007,0
7,2,9,0,3.160004,0
7,2,5,0,5.339996,0
7,4,4,10,7.660004,0
7,4,5,16,9.23999,0
7,2,2,8,10.75999,0
7,3,6,3,8.899994,0
7,2,8,5,8.080002,0
7,2,6,7,9.259995,0
7,1,8,6,8.460007,0
7,2,4,0,11.14,0
7,4,8,6,10.26001,0
7,4,6,6,11.87999,0
7,3,11,9,10.08,0
7,3,10,8,10.86,0
7,2,11,6,10.34,0
7,4,10,6,11.26001,0
7,1,9,13,13.18001,0
7,3,1,5,18.04001,0
7,3,7,6,16.51999,0
7,2,3,3,19.32001,0
7,3,4,18,19.04001,0
7,4,2,4,20.64,0
7,3,0,20,21.87999,0
7,1,11,7,16.28,0
7,4,7,6,19.78,0
7,1,4,3,23.72,0
7,4,3,8,25.96001,0
7,3,2,10,26.68001,0
7,4,11,9,22.56,0
7,4,9,12,24.8,0
7,2,7,4,28.7,0
7,2,0,13,37.75999,0
7,3,9,15,33.32001,0
8,4,0,0,3.019989,0
8,1,1,0,3.380005,0
8,4,2,2,3.360001,0
8,3,2,0,4.320007,0
8,4,6,0,2.300003,0
8,1,2,3,5.220001,0
8,3,3,3,4.76001,0
8,2,1,5,5.900009,0
8,1,5,0,4.040009,0
8,3,1,0,6.560013,0
8,4,5,8,5,0
8,2,0,0,7.559998,0
8,3,6,0,5.860001,0
8,1,10,0,4.660004,0
8,2,7,2,6.539993,0
8,1,6,9,7.800003,0
8,2,10,5,6.179993,0
8,1,0,6,11.36,0
8,3,5,6,9.619995,0
8,2,11,3,6.700012,0
8,4,10,13,7.559998,0
8,4,11,5,8.040009,0
8,1,9,10,9.359985,0
8,1,3,9,12.5,0
8,2,4,8,13.70001,0
8,3,4,8,14,0
8,2,2,2,17.00002,0
8,3,8,7,14.17999,0
8,3,0,25,20.65999,0
8,1,8,12,17.35999,0
8,4,1,7,21.94002,0
8,2,9,10,18.67999,0
8,4,7,10,20.71999,0
8,2,5,12,21.94,0
8,3,11,4,19.22,0
8,3,9,9,21.19998,0
8,3,7,19,23.09999,0
8,1,7,22,24.21999,0
8,2,8,7,25.12,0
8,2,3,32,27.89999,0
8,4,9,12,25.97998,0
8,1,4,16,28.56,0
8,1,11,12,26.56,0
8,4,3,25,33.08002,0
8,4,4,15,34.45999,0
8,3,10,16,33.39999,0
8,4,8,13,38.23999,0
8,2,6,15,44.12001,1
9,1,0,1,3.459991,0
9,1,1,0,3.580017,0
9,1,8,0,0.4400024,0
9,1,9,0,0.3200073,0
9,2,2,3,3.97998,0
9,1,10,0,0.1600037,0
9,2,4,2,3.740021,0
9,2,6,0,2.980011,0
9,1,3,4,5.279999,0
9,4,9,0,3.100006,0
9,4,7,5,4.23999,0
9,3,0,6,8.859985,0
9,2,10,5,4.26001,0
9,4,5,3,7.820007,0
9,2,8,3,6.579987,0
9,1,7,9,7.339996,0
9,4,0,4,11.06,0
9,3,11,0,5.720001,0
9,3,10,3,6.600006,0
9,2,9,16,7.380005,0
9,3,6,4,9.180023,0
9,2,3,2,12.42001,0
9,2,11,5,8.700012,0
9,4,1,21,14.04001,0
9,1,2,14,14.29999,0
9,4,3,8,13.88,0
9,1,11,4,10.5,0
9,4,2,4,15.44,0
9,3,3,4,15.07999,0
9,1,5,5,14.34,0
9,3,1,15,16.92001,0
9,3,8,11,14.35999,0
9,2,5,13,18.76001,0
9,4,11,12,16.76001,0
9,2,7,7,19.39999,0
9,3,2,18,22.12,0
9,2,0,22,23.95999,0
9,4,4,6,22.14001,0
9,2,1,7,24.48001,0
9,3,4,7,24.14001,0
9,4,8,6,22.19998,0
9,4,6,20,26.44,0
9,3,9,13,25.54001,0
9,4,10,15,26.46002,0
9,1,4,17,30.54001,0
9,1,6,3,31.18002,0
9,3,5,7,33.20001,0
9,3,7,13,34.51999,0
10,1,0,0,2.440002,0
10,4,0,0,3.179993,0
10,4,2,3,3.559998,0
10,3,5,0,2.319977,0
10,4,5,0,3.419983,0
10,4,9,0,1.579987,0
10,3,4,4,4.399994,0
10,4,11,0,1.73999,0
10,1,8,0,3.319977,0
10,1,3,4,6.119995,0
10,1,11,0,2.100006,0
10,1,4,5,5.639984,0
10,1,5,8,5.139984,0
10,2,0,9,8.200012,0
10,4,6,3,5.639984,0
10,3,1,3,8.480011,0
10,2,7,2,6,0
10,3,11,3,4.160004,0
10,3,0,4,10.08002,0
10,2,3,0,8.860016,0
10,2,9,0,6,0
10,4,8,7,7.019989,0
10,2,8,0,7.019989,0
10,4,1,0,10.82001,0
10,4,10,6,7.480011,0
10,2,10,16,7.480011,0
10,3,2,9,11.56,0
10,3,7,4,9.259979,0
10,1,2,5,12.39999,0
10,2,4,0,11.87997,0
10,3,8,8,10.53998,0
10,3,9,6,10.23999,0
10,1,1,20,14.42001,0
10,1,9,11,11.31998,0
10,2,5,11,15.67999,0
10,2,2,6,18.04001,0
10,4,4,8,17.56,0
10,4,3,10,18.89999,0
10,3,6,5,17.49997,0
10,2,1,6,22.14001,0
10,3,3,19,21.34,0
10,2,11,11,18.60001,0
10,2,6,8,22.49997,0
10,1,7,10,22.47998,0
10,3,10,11,22.41998,0
10,1,6,13,25.57999,0
10,4,7,19,26.15997,0
10,1,10,17,28.54001,0
