Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive,Escaped
5,2,9,22,18.28,0
5,2,3,4,21.74001,0
5,4,3,17,23.12,0
5,1,6,14,23.90001,0
5,4,4,5,26.72,0
5,1,3,14,28.34,0
5,4,7,8,26.74001,0
5,4,2,21,31.75999,0
6,4,1,0,1.660004,0
6,2,1,0,2.259995,0
6,3,3,0,2.660004,0
6,1,1,0,4.180008,0
6,1,2,0,4.100006,0
6,2,3,5,4.059998,0
6,1,4,2,3.819992,0
6,2,4,4,4.039993,0
6,4,4,7,4.819992,0
6,4,2,9,6.660004,0
6,1,9,0,3.300003,0
6,2,8,3,3.819992,0
6,2,9,0,3.400009,0
6,1,5,1,5.839996,0
6,4,3,8,7.580002,0
6,4,5,4,6.859985,0
6,1,6,4,8.219986,0
6,3,7,4,8.479996,0
6,2,2,5,11.04001,0
6,3,0,4,12.18001,0
6,3,5,7,9.779999,0
6,1,8,0,9.399994,0
6,1,7,0,10.28,0
6,3,2,12,13.10001,0
6,3,4,10,12.8,0
6,4,6,6,12.06,0
6,3,6,9,12.34,0
6,3,8,11,11.34,0
6,2,7,0,12.81999,0
6,1,0,12,16.46001,0
6,4,9,14,12.7,0
6,4,0,14,18.58,0
6,4,8,15,15.25999,0
6,2,0,14,19.32001,0
6,1,3,10,18.18001,0
6,2,6,5,17.75999,0
6,3,9,0,18.10001,0
6,4,7,6,21.43999,0
6,2,5,10,22.56,0
6,3,1,6,27.03999,0
7,2,0,0,0.4000092,0
7,2,4,0,0.1600037,0
7,2,1,0,2.460007,0
7,2,2,0,1.979996,0
7,2,3,0,2.400009,0
7,1,0,0,4.540009,0
7,3,1,0,5.540009,0
7,4,6,0,3.319992,0
7,4,5,0,4.37999,0
7,3,2,0,6.600006,0
7,2,8,4,3.779999,0
7,3,0,2,7.880005,0
7,2,7,1,4.520004,0
7,4,1,13,7.860001,0
7,2,9,0,3.860001,0
7,1,5,11,6.37999,0
7,4,2,5,8.12001,0
7,1,6,0,6.699997,0
7,4,4,9,8.179993,0
7,3,5,3,8.139999,0
7,1,1,6,10.72,0
7,3,3,3,10.90001,0
7,4,7,5,9.220001,0
7,1,2,2,13.10001,0
7,2,6,7,11.31999,0
7,1,4,8,12.8,0
7,3,4,18,14.28,0
7,4,3,9,16.5,0
7,3,7,11,15.48001,0
7,4,8,4,15.24001,0
7,3,9,4,15.34,0
7,1,8,6,19.18001,0
7,1,7,5,21.44,0
7,2,5,17,23.03999,0
7,4,9,23,21.08,0
7,1,3,14,25.2,0
7,4,0,8,27.44,0
7,3,8,17,24.34,0
7,1,9,18,24.58,0
7,3,6,7,27.78,0
8,3,0,0,3.399994,0
8,3,1,0,3.259995,0
8,1,0,4,4.259995,0
8,1,1,4,4.799988,0
8,4,3,3,4,0
8,1,5,1,3.520004,0
8,2,7,0,2.559998,0
8,2,4,0,4.160004,0
8,4,4,6,4.520004,0
8,3,3,0,5.580002,0
8,2,3,0,5.940002,0
8,2,6,4,4.559998,0
8,4,6,0,4.680008,0
8,2,8,3,4.099991,0
8,2,9,4,4.320007,0
8,3,4,0,7.400009,0
8,3,5,2,7.680008,0
8,4,8,0,6.539993,0
8,3,6,17,8.779999,0
8,1,4,13,10.28001,0
8,3,2,6,11.88002,0
8,4,5,3,10.44002,0
8,3,7,5,9.740005,0
8,4,9,0,9.839996,0
8,2,2,6,14.40001,0
8,1,9,9,11.34,0
8,1,8,4,13.42,0
8,4,2,7,16.98,0
8,3,9,0,14.17999,0
8,2,5,23,16.53999,0
8,4,1,18,18.8,0
8,1,3,10,19.88002,0
8,2,0,13,22.3,0
8,4,0,19,22.68001,0
8,3,8,14,19.93999,0
8,1,2,16,23.7,0
8,1,6,13,22.84,0
8,1,7,3,25.21999,0
8,4,7,5,25.52,0
8,2,1,10,30.25999,0
9,1,1,0,0.08001709,0
9,2,0,0,1.980011,0
9,2,3,0,1,0
9,4,2,0,2.839996,0
9,4,1,3,4.440002,0
9,1,7,0,1.940002,0
9,1,5,1,3.380005,0
9,1,6,0,3.220001,0
9,4,7,0,3.019989,0
9,2,4,9,6.420013,0
9,2,1,3,8.339996,0
9,1,9,0,4.360016,0
9,4,5,0,7.560028,0
9,2,2,8,9.799988,0
9,4,8,10,7.079987,0
9,2,7,2,8,0
9,3,5,12,9.620026,0
9,2,5,2,10.36002,0
9,4,0,0,13,0
9,3,0,9,14.22,0
9,3,6,10,11.90002,0
9,2,6,8,12.06003,0
9,1,0,7,15.30002,0
9,1,4,8,13.86002,0
9,3,9,18,12.04001,0
9,3,2,16,16.10001,0
9,1,2,5,16.41998,0
9,3,3,0,16.72,0
9,2,9,0,13.89999,0
9,3,1,21,18.36002,0
9,4,6,5,16.46002,0
9,4,3,8,18.5,0
9,3,8,2,16.17999,0
9,1,3,13,20.01999,0
9,2,8,7,19.85999,0
9,3,4,18,23.67999,0
9,4,9,25,21.89999,0
9,3,7,16,23.67999,0
9,1,8,7,24.78,0
9,4,4,14,31,0
10,2,0,0,2.100006,0
10,3,1,0,2.460022,0
10,2,3,0,2.440002,0
10,4,4,0,2.640015,0
10,1,2,0,4.080017,0
10,2,2,4,4.180023,0
10,1,8,0,1.320007,0
10,1,4,2,3.640015,0
10,1,1,7,5.680023,0
10,4,5,3,3.640015,0
10,3,4,0,4.600006,0
10,4,1,3,6.220001,0
10,2,6,1,4.220001,0
10,1,9,2,3.440002,0
10,1,0,0,8.300018,0
10,3,2,3,7.559998,0
10,2,9,4,4.240021,0
10,2,5,8,6.619995,0
10,2,7,2,7,0
10,4,0,3,12.34003,0
10,1,5,3,10.86002,0
10,3,3,5,12.22,0
10,4,2,0,13.54001,0
10,4,3,5,13.73999,0
10,4,6,0,12.23999,0
10,3,8,7,11.86002,0
10,2,4,8,14.72,0
10,3,9,8,12.74002,0
10,3,5,5,15.30002,0
10,2,8,0,14.73999,0
10,2,1,6,19.42001,0
10,4,7,5,18.44,0
10,4,8,15,18.95999,0
10,3,6,22,21.23999,0
10,3,0,2,27.90002,0
10,4,9,22,23.60001,0
10,3,7,7,25.17999,0
10,1,6,1,26.94,0
10,1,7,7,28.39999,0
10,1,3,24,30.89999,0
