Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive,Escaped
1,4,3,0,2.46,0
1,3,2,0,3.26,0
1,1,4,0,2.94,0
1,4,4,0,3.5,0
1,2,8,0,1.64,0
1,3,4,4,3.88,0
1,2,6,0,3.38,0
1,2,0,0,6.9,0
1,1,6,4,4.18,0
1,1,2,4,6.68,0
1,3,1,5,8.24,0
1,3,8,8,4.98,0
1,4,5,11,7.34,0
1,1,1,0,9.82,0
1,4,8,5,7.619999,0
1,1,5,0,9.559999,0
1,3,9,5,7.639999,0
1,3,5,0,10.42,0
1,2,4,7,12.2,0
1,2,3,0,13.04,0
1,1,7,0,12.16,0
1,4,9,4,13.12,0
1,3,0,8,19.52,0
1,4,0,23,20.52,0
1,2,2,19,20.8,0
1,1,3,20,22.62,0
1,2,9,18,19.72,0
1,2,7,9,21.26,0
1,4,2,19,25.8,0
1,3,7,17,23.88,0
1,4,7,16,24.4,0
1,1,9,2,23.4,0
1,1,0,10,28.5,0
1,3,6,23,26.96,0
1,1,8,17,31.78,0
1,4,1,18,35.76,0
1,2,1,26,38.14,0
1,2,5,7,36.86,0
1,3,3,15,39.16,0
1,4,6,3,40.04,0
2,3,0,0,2.860001,0
2,1,0,1,3.380001,0
2,3,2,2,3.580002,0
2,1,6,0,1.639999,0
2,3,5,0,3.400002,0
2,2,0,4,6.200001,0
2,4,7,0,3.259998,0
2,4,8,5,4.18,0
2,1,4,3,6.240002,0
2,1,8,4,4.18,0
2,4,0,6,8.639999,0
2,4,3,0,7.52,0
2,3,3,10,8.439999,0
2,2,3,0,9.18,0
2,1,1,9,10.74,0
2,4,9,3,6.719997,0
2,4,6,9,8.82,0
2,2,5,3,9.84,0
2,2,8,0,9.48,0
2,4,2,7,12.56,0
2,4,1,11,13.88,0
2,2,2,8,13.38,0
2,4,5,4,12.4,0
2,2,6,5,12.48,0
2,2,9,0,10.98,0
2,3,9,10,12.9,0
2,1,9,3,13.04,0
2,3,8,8,14.02,0
2,2,7,9,15.72,0
2,1,5,0,17.8,0
2,3,1,10,20.82,0
2,3,6,10,19,0
2,2,4,13,20.04,0
2,2,1,8,21.76,0
2,1,3,20,22.4,0
2,1,7,8,20.64,0
2,4,4,6,24.28,0
2,1,2,6,25.38,0
2,3,4,11,26.32,0
2,3,7,12,25.16,0
3,4,0,0,2.780006,0
3,3,1,0,2.919998,0
3,2,4,0,2.599998,0
3,1,3,0,3.260002,0
3,1,6,0,1.860001,0
3,4,2,4,3.979996,0
3,1,5,0,2.700005,0
3,4,3,0,4.339996,0
3,1,7,0,2.939995,0
3,4,5,4,4.200005,0
3,1,9,0,3.339996,0
3,3,8,3,4.099998,0
3,3,3,4,6.900002,0
3,2,2,8,7.659996,0
3,3,7,10,5.639999,0
3,1,4,8,7.559998,0
3,3,2,9,8.779999,0
3,2,8,4,6.799995,0
3,3,6,0,8.060005,0
3,4,9,3,6.82,0
3,3,0,11,12.3,0
3,2,7,0,9.599998,0
3,4,6,4,11.04,0
3,1,1,8,14.64,0
3,1,8,9,12.02,0
3,3,9,10,12.12,0
3,1,2,15,15.75999,0
3,2,1,1,16.96,0
3,4,4,15,18.62,0
3,4,8,5,16.82,0
3,4,7,3,17.56,0
3,2,6,11,18.34,0
3,3,4,4,20.54,0
3,2,0,21,22.78,0
3,4,1,5,22.84,0
3,2,3,9,24.6,0
3,2,5,12,25.44,0
3,3,5,23,25.96,0
3,1,0,16,29.46,0
3,2,9,27,26.62,0
4,1,1,0,3.459999,0
4,2,1,3,3.939995,0
4,2,2,0,3.459999,0
4,4,2,3,4.139999,0
4,1,3,5,4.439995,0
4,1,0,0,6.040001,0
4,4,3,3,4.859993,0
4,2,4,0,4.539993,0
4,3,0,0,6.800003,0
4,1,4,6,4.739998,0
4,4,8,0,3.060005,0
4,4,4,5,5.879997,0
4,3,4,12,6.739998,0
4,1,5,0,6.339996,0
4,3,2,5,8.400002,0
4,2,8,6,7.18,0
4,4,7,5,9.82,0
4,3,8,3,10.38,0
4,2,7,9,10.9,0
4,2,6,7,11.74,0
4,4,1,5,14.82,0
4,1,8,10,11.46001,0
4,2,5,5,14.66,0
4,3,1,10,16.7,0
4,2,3,13,16.24,0
4,2,9,5,13.56001,0
4,3,6,20,15.89999,0
4,3,5,16,17.52,0
4,3,3,9,18.66,0
4,1,7,5,17.02,0
4,4,6,12,17.88,0
4,4,5,5,19.88,0
4,4,0,17,22.64,0
4,3,9,9,18.88,0
4,1,2,11,22.48,0
4,1,9,6,19.74,0
4,4,9,12,20.9,0
4,2,0,5,26.8,0
4,1,6,3,24.77999,0
4,3,7,1,25.28,0
5,3,2,0,2.319992,0
5,4,0,1,3.520004,0
5,2,0,0,3.860001,0
5,1,4,0,3.259995,0
5,2,4,3,3.800003,0
5,2,7,0,2.940002,0
5,3,6,4,4,0
5,3,3,11,5.759995,0
5,3,0,9,7.880005,0
5,1,9,3,3.839996,0
5,2,1,9,8.160004,0
5,1,1,6,8.73999,0
5,4,3,0,9.099991,0
5,4,7,0,7.540009,0
5,2,5,6,8.76001,0
5,3,9,1,7.380005,0
5,3,8,0,7.940002,0
5,2,6,3,11.96001,0
5,4,2,2,14.25999,0
5,4,9,12,11.81999,0
5,3,4,20,14.94,0
5,1,8,5,13.24001,0
5,4,6,7,14.88,0
5,4,1,9,18.01999,0
5,1,0,8,19.39999,0
5,1,2,13,20.15999,0
5,2,2,17,20.44,0
5,2,9,7,16.98,0
5,4,8,5,19.76001,0
5,3,7,21,21.44,0
5,1,3,22,24.58,0
5,3,1,6,26.95999,0
5,1,5,15,25.72,0
5,2,3,23,28.67999,0
5,4,4,22,28.48,0
5,1,6,8,29.22,0
5,4,5,21,29.96001,0
5,1,7,12,29.22,0
5,2,8,8,30.74001,0
5,3,5,8,34.08,0
6,2,1,0,0.9000092,0
6,2,3,0,1.559998,0
6,3,1,3,3.62001,0
6,2,2,3,3.839996,0
6,1,3,2,3.619995,0
6,4,6,0,3.5,0
6,1,8,0,3.259995,0
6,1,9,0,3.360001,0
6,2,0,13,8.059998,0
6,3,6,0,5.119995,0
6,2,4,4,7.5,0
6,3,4,7,8.759995,0
6,3,0,4,10.94,0
6,3,7,3,7.419998,0
6,4,9,3,6.800003,0
6,4,0,6,11.34001,0
6,4,5,3,9.399994,0
6,1,5,13,10.67999,0
6,1,7,13,10.51999,0
6,1,2,0,13.66,0
6,3,3,13,14.22,0
6,2,9,14,11.92,0
6,2,7,6,12.92,0
6,2,6,11,13.5,0
6,3,9,5,12.22,0
6,4,4,10,15.15999,0
6,4,7,8,15.08,0
6,3,2,5,18.17999,0
6,4,2,11,19.24001,0
6,4,3,1,21.08,0
6,1,4,15,22,0
6,1,1,14,23.78,0
6,4,1,0,25.14,0
6,4,8,14,22.01999,0
6,3,8,10,25.06,0
6,3,5,16,28.06,0
6,2,8,19,31.31999,0
6,1,0,31,39.60001,0
6,1,6,4,37.23999,0
6,2,5,26,40.73999,0
7,3,0,0,2.600006,0
7,1,1,0,2.720001,0
7,4,1,5,4.199997,0
7,1,6,0,2.380005,0
7,4,0,0,5.880005,0
7,3,1,3,5.539993,0
7,1,4,6,4.580002,0
7,3,4,6,5.200012,0
7,1,2,8,7.039993,0
7,4,6,0,5.900009,0
7,2,4,2,7.660004,0
7,3,7,0,6.220001,0
7,3,5,5,7.300003,0
7,1,7,2,7.880005,0
7,4,8,5,7.419998,0
7,1,8,0,7.820007,0
7,3,2,0,11.25999,0
7,1,3,9,11.28001,0
7,3,3,7,12.08,0
7,4,5,7,11.52,0
7,1,9,3,9.880005,0
7,4,3,0,13.62001,0
7,3,6,0,13,0
7,4,2,14,15.39999,0
7,3,9,22,13.26001,0
7,2,1,18,18.44,0
7,4,7,7,15.64,0
7,2,9,12,15.02,0
7,2,8,11,15.98,0
7,2,0,26,20.86,0
7,3,8,25,17.36,0
7,2,3,20,20.34001,0
7,1,0,28,22.62,0
7,2,2,5,21.62,0
7,4,9,4,18.58,0
7,4,4,26,23.3,0
7,1,5,10,23.08,0
7,2,6,13,23.06,0
7,2,7,13,27.60001,0
7,2,5,15,31,0
8,2,0,0,0.8200073,0
8,2,1,0,1,0
8,2,2,0,0.5399933,0
8,4,0,2,3.779999,0
8,4,1,2,3.559998,0
8,2,7,0,0.5399933,0
8,4,4,0,2.119995,0
8,3,3,0,2.720001,0
8,1,1,0,4.320007,0
8,3,1,0,4.820007,0
8,1,3,4,4.659988,0
8,1,4,0,5.319992,0
8,3,0,2,7.460007,0
8,1,8,0,3.360001,0
8,2,3,0,6.279984,0
8,1,5,0,5.37999,0
8,4,8,7,4.779984,0
8,1,7,14,6.460007,0
8,4,5,10,8.080002,0
8,4,6,5,7.820007,0
8,2,6,6,9.079987,0
8,4,7,2,9.37999,0
8,4,3,8,11.7,0
8,2,9,8,9.139999,0
8,3,9,12,10.42,0
8,3,6,3,12.01999,0
8,3,2,13,14.5,0
8,2,4,9,13.86,0
8,1,6,8,12.84,0
8,4,9,15,12.90001,0
8,3,8,5,15.7,0
8,1,0,11,21.65999,0
8,2,8,4,18.3,0
8,1,2,3,21.94,0
8,2,5,16,20.98,0
8,1,9,0,19.36,0
8,3,7,11,20.68001,0
8,3,5,0,24.44002,0
8,3,4,19,26.02,0
8,4,2,28,27.10001,0
9,2,0,0,0.8399963,0
9,1,2,0,2.740021,0
9,4,1,1,3.899994,0
9,4,2,2,3.640015,0
9,3,1,6,4.519989,0
9,4,0,4,5.759979,0
9,2,4,0,3.820007,0
9,2,5,1,3.440002,0
9,2,9,0,2.679993,0
9,1,3,0,6.140015,0
9,4,8,3,3.759979,0
9,1,4,4,6.140015,0
9,3,6,11,5.840027,0
9,2,1,4,8.660004,0
9,3,0,0,10.01999,0
9,2,6,2,7.02002,0
9,1,0,11,10.95999,0
9,2,2,5,10.22,0
9,1,1,0,10.84,0
9,1,6,9,9.180023,0
9,3,7,8,9.139984,0
9,1,8,2,8.639984,0
9,3,9,14,8.899994,0
9,3,5,3,11.64001,0
9,1,5,8,12.54001,0
9,4,3,7,13.54001,0
9,3,8,9,11.23999,0
9,3,4,8,13.26001,0
9,3,3,12,15.08002,0
9,1,9,5,13.56,0
9,2,3,5,17.08002,0
9,4,7,6,15.39999,0
9,3,2,18,17.98001,0
9,4,9,4,15.66,0
9,2,7,11,16.89999,0
9,4,5,3,18.74002,0
9,2,8,9,18.23999,0
9,4,4,0,20.64001,0
9,1,7,14,19.23999,0
9,4,6,9,23.30002,0
10,4,2,0,0.5800171,0
10,2,3,0,1.820007,0
10,1,1,0,3.199982,0
10,4,4,0,1.779999,0
10,1,7,0,0.3399963,0
10,2,2,0,3.160004,0
10,4,3,0,3.559998,0
10,2,0,10,5.579987,0
10,2,1,6,5.179993,0
10,1,4,2,3.859985,0
10,3,2,9,5.540009,0
10,2,4,3,5.119995,0
10,4,8,0,3.160004,0
10,3,9,0,3.160004,0
10,3,7,7,4.679993,0
10,1,6,7,5.419983,0
10,1,9,3,4.179993,0
10,3,8,0,5.919983,0
10,2,6,0,8.519989,0
10,4,0,0,11.97998,0
10,2,8,0,8.199982,0
10,4,5,2,9.859985,0
10,1,3,3,12.23999,0
10,4,1,18,14.06,0
10,2,9,4,10.12,0
10,3,5,6,12.69998,0
10,1,8,12,11.41998,0
10,4,9,3,11.67999,0
10,3,1,5,16.44,0
10,1,5,3,15.04001,0
10,4,6,9,14.98001,0
10,1,0,4,18.17999,0
10,2,5,20,17.66,0
10,3,4,20,19.91998,0
10,3,0,7,22.75998,0
10,1,2,16,26.89999,0
10,3,6,3,25.91998,0
10,4,7,10,28.22,0
10,2,7,10,29.51999,0
10,3,3,17,32.39999,0
