Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive,Escaped
1,2,1,0,2.98,0
1,2,0,0,4.4,0
1,1,0,0,4.9,0
1,1,2,0,4.16,0
1,4,3,0,4.54,0
1,2,3,2,5.26,0
1,3,4,2,6.02,0
1,3,7,0,4.52,0
1,3,9,0,3.9,0
1,3,3,6,8.1,0
1,4,0,3,10,0
1,4,4,0,8.48,0
1,3,8,0,7.139999,0
1,4,6,4,8.82,0
1,2,5,10,10,0
1,1,7,0,9.26,0
1,2,9,4,8.96,0
1,3,1,8,13.28,0
1,4,8,0,10.12,0
1,3,2,18,13.6,0
1,3,0,12,15.64,0
1,2,2,11,14.6,0
1,1,1,2,15.48,0
1,4,9,3,12.28,0
1,4,1,14,17.54,0
1,1,5,0,15.62,0
1,1,4,10,16.3,0
1,4,5,0,17.5,0
1,2,6,0,17.44,0
1,1,9,0,16.32,0
1,2,4,9,19.86,0
1,3,5,3,20.94,0
1,3,6,7,21.1,0
1,1,8,6,22.38,0
1,2,7,4,23.02,0
1,4,2,5,27.72,0
1,4,7,8,25.5,0
1,2,8,11,26.94,0
1,1,3,10,34.64,0
1,1,6,18,38.2,0
2,3,1,0,3.16,0
2,2,4,0,2,0
2,3,3,0,3.32,0
2,2,6,0,2.16,0
2,3,5,0,2.899998,0
2,4,5,1,3.779999,0
2,4,1,9,5.799999,0
2,2,5,0,3.799999,0
2,1,7,0,3.219997,0
2,2,1,0,6.959999,0
2,4,11,0,2.5,0
2,4,0,11,8.579998,0
2,1,4,0,6.959999,0
2,4,9,4,4.440002,0
2,1,11,6,4.440002,0
2,2,8,0,6.400002,0
2,3,0,13,10.52,0
2,2,3,7,9.84,0
2,2,2,5,10.66,0
2,4,4,0,10.12,0
2,1,2,7,12.16,0
2,4,6,0,11.06,0
2,3,4,15,13.28,0
2,3,11,13,10.42,0
2,3,6,14,13.24,0
2,4,7,11,13.06,0
2,1,0,13,16.62,0
2,4,2,0,16.3,0
2,1,5,3,15.3,0
2,1,1,5,17.42,0
2,3,10,17,13.34,0
2,3,7,8,15.4,0
2,2,11,10,13.9,0
2,2,7,8,16.08,0
2,1,3,18,18.88,0
2,3,9,11,16.52,0
2,1,9,4,17.24,0
2,3,2,15,21.24,0
2,2,9,17,20.08,0
2,4,10,0,20.44,0
2,4,3,11,24.08,0
2,1,10,3,21.78,0
2,4,8,7,24.04,0
2,2,0,18,28.88,0
2,1,6,13,31.38,0
2,3,8,27,30.46,0
2,1,8,6,30.6,0
2,2,10,16,32.14,0
3,2,0,0,2.779999,0
3,2,4,0,2.039993,0
3,2,3,0,2.559998,0
3,2,8,0,0.6399994,0
3,2,6,0,1.699997,0
3,2,5,0,2.239998,0
3,4,2,1,3.800003,0
3,4,1,5,4.559998,0
3,4,6,0,3.120003,0
3,4,8,0,2.82,0
3,4,11,0,1.400002,0
3,3,0,5,7.5,0
3,1,6,0,4.980003,0
3,2,2,1,7.860001,0
3,4,10,3,4.060005,0
3,3,10,3,4.480003,0
3,4,3,0,8.459999,0
3,4,4,11,8.259995,0
3,1,8,2,6.459999,0
3,4,5,0,8.439995,0
3,1,7,0,7.959999,0
3,1,11,0,6.220001,0
3,3,5,13,9.459999,0
3,3,7,10,8.720001,0
3,3,3,12,10.93999,0
3,1,4,13,10.48,0
3,3,9,9,8.519997,0
3,1,0,11,13.57999,0
3,2,1,5,13.98,0
3,3,6,8,12.56,0
3,4,0,11,16.21999,0
3,3,11,13,12.06,0
3,1,3,10,16.24,0
3,2,11,5,12.18,0
3,1,10,0,12.72,0
3,3,1,21,17.78,0
3,2,7,12,15.46,0
3,4,9,3,15.94,0
3,2,10,14,15.64,0
3,2,9,7,16.36,0
3,3,8,17,17.64,0
3,3,4,5,21.28,0
3,4,7,4,19.98,0
3,3,2,22,23.12,0
3,1,2,0,25.9,0
3,1,9,6,25.64,0
3,1,5,13,30.92,0
3,1,1,4,35.96,0
4,2,0,0,0.5,0
4,2,2,0,0.7999954,0
4,4,2,0,3.379997,0
4,4,1,3,4.199997,0
4,3,0,3,4.800003,0
4,4,0,7,5.260002,0
4,1,5,0,2.960007,0
4,4,3,4,4.759995,0
4,3,3,3,5.619995,0
4,4,7,0,3.580002,0
4,3,1,5,7.839996,0
4,2,10,0,3.32,0
4,2,4,0,6.480003,0
4,4,10,0,3.599998,0
4,3,9,6,5.220001,0
4,4,5,6,7.940002,0
4,2,7,3,7.18,0
4,1,2,5,10.6,0
4,3,6,10,8.760002,0
4,4,8,0,8.619995,0
4,1,4,5,10.81999,0
4,1,1,3,12.66,0
4,1,8,0,9.320007,0
4,4,4,0,11.66,0
4,3,8,11,10.12,0
4,3,5,17,11.92001,0
4,2,11,7,9.599991,0
4,4,9,6,11.22,0
4,3,10,13,11.28,0
4,2,8,8,13.40001,0
4,2,5,19,15.36001,0
4,1,7,6,14.54,0
4,4,6,0,15.71999,0
4,1,6,7,16.34,0
4,1,11,6,14.3,0
4,2,9,5,15.62,0
4,1,0,12,20.93999,0
4,2,1,13,21.18,0
4,2,3,20,21.13999,0
4,3,7,13,20.66,0
4,3,2,28,24.13999,0
4,1,9,13,21.82001,0
4,1,3,0,26.16,0
4,3,4,15,29.39999,0
4,1,10,6,26.98,0
4,2,6,5,29.49999,0
4,3,11,18,28,0
4,4,11,24,28.03999,0
5,2,0,0,2.679993,0
5,1,0,3,3.979996,0
5,1,2,0,3.220001,0
5,4,3,0,2.720001,0
5,3,9,0,0.3600006,0
5,4,1,5,4.539993,0
5,4,5,0,2.580002,0
5,4,0,9,5.580002,0
5,1,6,0,3.12001,0
5,1,4,0,4.440002,0
5,3,6,0,3.700012,0
5,3,4,3,5.139999,0
5,1,3,8,6.139999,0
5,2,10,0,2.680008,0
5,3,1,9,7.419998,0
5,2,3,5,7.159988,0
5,2,5,0,7.019989,0
5,3,5,8,8.019989,0
5,3,11,1,5.179993,0
5,2,7,0,7.700012,0
5,4,2,3,10.7,0
5,4,7,0,9.180008,0
5,4,6,8,9.76001,0
5,3,0,17,13.44,0
5,4,10,13,9.639999,0
5,2,1,10,14.34,0
5,1,9,7,10.96001,0
5,1,7,0,12.84001,0
5,2,2,10,16.42,0
5,1,5,3,15.34,0
5,3,10,8,13.3,0
5,3,7,22,15.38,0
5,3,8,15,15.60001,0
5,4,11,12,15.42,0
5,2,4,12,19.73999,0
5,3,2,18,22.64,0
5,2,9,4,19.46001,0
5,4,9,18,19.66,0
5,4,8,7,21.32001,0
5,2,11,7,20.84,0
5,2,8,14,23.82001,0
5,1,10,24,24.18001,0
5,4,4,23,27.5,0
5,1,11,6,24.17999,0
5,1,1,9,30.2,0
5,3,3,22,29.62,0
5,1,8,9,27.84,0
5,2,6,25,30.92,0
6,4,1,0,3.340012,0
6,1,0,4,4.740005,0
6,1,10,0,0.1199951,0
6,3,2,0,4.320007,0
6,4,3,1,3.960007,0
6,4,2,3,4.720001,0
6,2,0,4,5.720001,0
6,3,5,2,3.720001,0
